IDATE,COMM,LOSS
1994,CRUDE OIL,350.0
1994,CRUDE OIL,260.0
1993,CRUDE OIL,200.0
1994,CRUDE OIL,45.0
1994,CRUDE OIL,4.0
1994,CRUDE OIL,150.0
1994,CRUDE OIL,35.0
1994,CRUDE OIL,592.0
1994,CRUDE OIL,5.0
1994,CRUDE OIL,47.0
1994,CRUDE OIL,4207.0
1993,CRUDE OIL,75.0
1994,CRUDE OIL,200.0
1994,CRUDE OIL,200.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,260.0
1994,CRUDE OIL,5.0
1994,CRUDE OIL,0.0
1994,CRUDE OIL,150.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,50.0
1994,CRUDE OIL,1600.0
1994,CRUDE OIL,71.0
1994,CRUDE OIL,889.0
1994,CRUDE OIL,2000.0
1994,CRUDE OIL,5.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,30.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,850.0
1994,CRUDE OIL,150.0
1994,CRUDE OIL,50.0
1994,CRUDE OIL,482.0
1994,CRUDE OIL,140.0
1994,CRUDE OIL,4.0
1994,CRUDE OIL,90.0
1994,CRUDE OIL,85.0
1994,CRUDE OIL,0.0
1994,CRUDE OIL,30.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,3.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,900.0
1994,CRUDE OIL,35.0
1994,CRUDE OIL,1100.0
1994,CRUDE OIL,3.0
1994,CRUDE OIL,90.0
1994,CRUDE OIL,10.0
1993,CRUDE OIL,160.0
1994,CRUDE OIL,5.0
1994,CRUDE OIL,2870.0
1994,CRUDE OIL,350.0
1994,CRUDE OIL,137.0
1994,CRUDE OIL,10.0
1994,CRUDE OIL,8.0
1994,CRUDE OIL,900.0
1994,CRUDE OIL,500.0
1994,CRUDE OIL,317.0
1994,CRUDE OIL,50.0
1994,CRUDE OIL,3.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,437.0
1994,CRUDE OIL,350.0
1994,CRUDE OIL,260.0
1994,CRUDE OIL,200.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,4329.0
1994,CRUDE OIL,65.0
1994,CRUDE OIL,5350.0
1994,CRUDE OIL,1065.0
1994,CRUDE OIL,110.0
1994,CRUDE OIL,2267.0
1994,CRUDE OIL,300.0
1994,CRUDE OIL,80.0
1994,CRUDE OIL,67.0
1994,CRUDE OIL,210.0
1994,CRUDE OIL,60.0
1994,CRUDE OIL,560.0
1994,CRUDE OIL,210.0
1994,CRUDE OIL,250.0
1994,CRUDE OIL,200.0
1994,CRUDE OIL,1478.0
1994,CRUDE OIL,2151.0
1994,CRUDE OIL,550.0
1994,CRUDE OIL,196.0
1995,CRUDE OIL,5.0
1994,CRUDE OIL,35.0
1994,CRUDE OIL,180.0
1994,CRUDE OIL,550.0
1995,CRUDE OIL,27.0
1995,CRUDE OIL,30000.0
1995,CRUDE OIL,35.0
1995,CRUDE OIL,15.0
1995,CRUDE OIL,500.0
1995,CRUDE OIL,1400.0
1995,CRUDE OIL,4.0
1995,CRUDE OIL,50.0
1995,CRUDE OIL,800.0
1995,CRUDE OIL,100.0
1995,CRUDE OIL,1000.0
1994,CRUDE OIL,183.0
1994,CRUDE OIL,0.0
1994,CRUDE OIL,561.0
1994,CRUDE OIL,2.0
1995,CRUDE OIL,200.0
1995,CRUDE OIL,1.0
1995,CRUDE OIL,30.0
1995,CRUDE OIL,4000.0
1995,CRUDE OIL,280.0
1995,CRUDE OIL,210.0
1995,CRUDE OIL,350.0
1995,CRUDE OIL,150.0
1995,CRUDE OIL,0.0
1995,CRUDE OIL,210.0
1995,CRUDE OIL,480.0
